District,Latitude,Longitude,Month,Month1,Year,Monthly_cases,X21,X22,X23,X24,X25,X26,X27,X28,X29,X210,X211,X212,X213,X214,X215,X216,X217,X218,X219,X220,X221,,,,,,,,,,
Rangamati,24.0958,90.4125,January,1,2022,0,17.29,8.4,25.32,78.56,0.87,100.11,485.51,620215,18.2,73.69,1.2,4.64,99,54.57892,407.0471045,0.90 ,5.5,52,5762.959417,379.7934328,4067.466385,,,,,,,,,,
Rangpur,24.0958,90.4125,January,1,2022,0,22.42,14.15,30.56,77.19,0.09,100.18,485.51,2996334,18.2,73.69,1.2,4.1,99,263.677392,1966.494004,0.90 ,5.5,52,2343.984755,154.4744553,1654.372087,,,,,,,,,,
Satkhira,24.0958,90.4125,January,1,2022,0,20.5,15.59,26.29,73.49,0.76,100.11,485.51,1201464,18.2,73.69,1.2,4.04,99,105.728832,788.5208232,0.90 ,5.5,52,3390.40283,223.4360225,2392.92845,,,,,,,,,,
Shariatpur,23.0488,89.8879,January,1,2022,0,17.29,8.4,25.32,78.56,0.87,100.36,485.51,2063610,18.2,73.69,1.2,4.04,99,181.59768,1354.347243,0.90 ,5.5,52,1186.196087,78.17328758,837.2109468,,,,,,,,,,
Sherpur,23.0488,89.8879,January,1,2022,0,22.42,14.15,30.56,77.19,0.09,100.93,485.51,1412601,18.2,73.69,1.2,4.39,99,124.308888,927.0900363,0.90 ,5.5,52,1326.036532,87.38912251,935.9095959,,,,,,,,,,
Sirajganj,23.0488,89.8879,January,1,2022,0,20.5,15.59,26.29,73.49,0.76,101.28,485.51,3220812,18.2,73.69,1.2,4,99,283.431456,2113.818916,0.90 ,5.5,52,2494.301919,164.3807322,1760.465149,,,,,,,,,,
Sunamganj,24.4771,91.4507,January,1,2022,0,17.29,8.4,25.32,78.56,0.87,101.4,485.51,2564540,18.2,73.69,1.2,5.25,99,225.67952,1683.107602,0.90 ,5.5,52,3693.58372,243.416401,2606.911924,,,,,,,,,,
Sylhet,24.4771,91.4507,January,1,2022,0,22.42,14.15,30.56,77.19,0.09,101.19,485.51,3567139,18.2,73.69,1.2,5.25,99,313.908232,2341.113326,0.90 ,5.5,52,3417.924658,225.2497797,2412.353211,,,,,,,,,,
Tangail,24.4771,91.4507,January,1,2022,0,20.5,15.59,26.29,73.49,0.76,101.04,485.51,3749086,18.2,73.69,1.2,4.04,99,329.919568,2460.525142,0.90 ,5.5,52,3366.374057,221.8524662,2375.969068,,,,,,,,,,
Thakurgaon,25.0831,89.7853,January,1,2022,0,17.29,8.4,25.32,78.56,0.87,100.64,485.51,1444783,18.2,73.69,1.2,4.1,99,127.140904,948.2110829,0.90 ,5.5,52,1814.206041,119.5607136,1280.457063,,,,,,,,,,
Bagerhat,22.6602,89.7895,February,2,2022,0,17.99,11.76,25.38,70.2,0.31,101.15,460.2,1534012,18.7,74.66,1,4.04,99,134.993056,1006.772076,0.90 ,5.5,52,3646.18417,240.2926522,2573.457572,,,,,,,,,,
Bandarban,22.6602,89.7895,February,2,2022,0,19.09,9.67,27.1,76.56,0.29,101.26,460.2,404091,18.7,74.66,1,4.64,99,35.560008,265.2049233,0.90 ,5.5,52,4595.260113,302.8391295,3243.310371,,,,,,,,,,
Barguna,22.6602,89.7895,February,2,2022,4,22.13,15.62,29.61,54.73,2.29,101.19,485.51,927889,18.2,73.69,1.2,4.38,99,81.654232,608.9735507,0.90 ,5.5,52,1345.650521,88.68173341,949.7530459,,,,,,,,,,
Barishal,21.8311,92.3686,February,2,2022,4,17.99,11.76,25.38,70.2,0.31,101.04,485.51,2414729,18.2,73.69,1.2,4.38,99,212.496152,1584.786643,0.90 ,5.5,52,2219.580861,146.2759276,1566.568474,,,,,,,,,,
Bhola,21.8311,92.3686,February,2,2022,0,19.09,9.67,27.1,76.56,0.29,100.64,485.51,1846351,18.2,73.69,1.2,4.38,99,162.478888,1211.760161,0.90 ,5.5,52,1948.543739,128.4139037,1375.271902,,,,,,,,,,
