District,Latitude,Longitude,Year,Yearly_cases,DENV1 ,DENV2,DENV3,DENV4,X11,X12,X13,X14,X15,X16,X17,X18,X19,X110,X111,X112,X113,X114,X115,X116,X117,X118,X119,X120,X121,,,,,,,,
Narsingdi,24.1344,90.786,2017,2,0.96,1.52,0,0,25.28,6.82,34.91,80.38,4614.26,0.07,293.75,2314889,23.1,72.9,1.1,3.87,88,196.765565,1241.243482,0.85,3,48,1167.789178,76.96022627,824.2194475,,,,,,,,
Natore,24.4102,89.0076,2017,2,0.96,1.52,0,0,25.55,4.93,40.8,74.25,1961.72,0.05,293.75,1774832,23.1,72.9,1.1,3.76,88,150.86072,951.6649184,0.85,3,48,1904.364965,125.5024121,1344.090757,,,,,,,,
Netrokona,24.8103,90.8656,2017,0,0,0,0,0,24.98,7.97,33.83,79.88,5400,0.02,293.75,2317190,23.1,72.9,1.1,3.85,88,196.96115,1242.477278,0.85,3,48,2804.365101,184.814671,1979.306109,,,,,,,,
Nilphamari,25.8483,88.9414,2017,2,0.96,1.52,0,0,25.07,6.16,39.85,74.44,2583.98,0.05,293.75,1907497,23.1,72.9,1.1,3.87,88,162.137245,1022.799891,0.85,3,48,1587.900399,104.646606,1120.731734,,,,,,,,
Noakhali,22.874,91.0173,2017,0,0,0,0,0,24.87,6.79,33.18,84.69,6670.9,0.12,293.75,3231832,23.1,72.9,1.1,4.47,88,274.70572,1732.908318,0.85,3,48,2678.48487,176.5188491,1890.460506,,,,,,,,
Pabna,24.1585,89.4481,2017,12,5.76,9.12,0,0,25.56,5.95,39.17,76.81,3079.69,0.05,293.75,2624683,23.1,72.9,1.1,3.76,88,223.098055,1407.355025,0.85,3,48,2389.393133,157.4669809,1686.421081,,,,,,,,
Panchagarh,26.2709,88.5952,2017,2,0.96,1.52,0,0,25.12,8.76,39.73,70.75,2536.52,0.08,293.75,1026139,23.1,72.9,1.1,3.87,88,87.221815,550.2157318,0.85,3,48,1363.120548,89.8330519,962.0832992,,,,,,,,
Patuakhali,22.2249,90.4548,2017,8,3.84,6.08,0,0,26.09,12.21,31.9,81.62,9101.95,0.09,293.75,1596223,23.1,72.9,1.1,4.17,88,135.678955,855.8947726,0.85,3,48,2617.407817,172.4937186,1847.352643,,,,,,,,
Pirojpur,22.5791,89.9759,2017,2,0.96,1.52,0,0,25.34,6.4,36.1,81.19,5046.68,0.05,293.75,1157215,23.1,72.9,1.1,4.17,88,98.363275,620.498683,0.85,3,48,1269.846388,83.68605154,896.2508884,,,,,,,,
Rajbari,23.7151,89.5875,2017,2,0.96,1.52,0,0,25.55,5.72,39.94,77.25,3174.61,0.05,293.75,1091263,23.1,72.9,1.1,3.87,88,92.757355,585.1352206,0.85,3,48,1139.236341,75.07852297,804.067006,,,,,,,,
Rajshahi,24.3733,88.6049,2017,3,1.44,2.28,0,0,25.55,4.93,40.8,74.25,1961.72,0.05,293.75,2699688,23.1,72.9,1.1,3.76,88,229.47348,1447.572706,0.85,3,48,2438.427587,160.698474,1721.02934,,,,,,,,
Rangamati,22.7324,92.2985,2017,9,4.32,6.84,0,0,24.17,9.64,33.77,81.25,5995.9,0.02,293.75,620215,23.1,72.9,1.1,4.47,88,52.718275,332.559283,0.85,3,48,5762.959417,379.7934328,4067.466385,,,,,,,,
Rangpur,25.7468,89.2508,2017,1,0.48,0.76,0,0,25.39,5.59,38.15,76.25,2647.27,0.03,293.75,2996334,23.1,72.9,1.1,3.87,88,254.68839,1606.634291,0.85,3,48,2343.984755,154.4744553,1654.372087,,,,,,,,
Satkhira,22.3155,89.1115,2017,4,1.92,3.04,0,0,25.68,6.23,38.72,78.31,3796.88,0.05,293.75,1201464,23.1,72.9,1.1,3.74,88,102.12444,644.2249968,0.85,3,48,3390.40283,223.4360225,2392.92845,,,,,,,,
Shariatpur,23.2423,90.4348,2017,3,1.44,2.28,0,0,25.26,7.89,33.77,82.62,5637.3,0.02,293.75,2063610,23.1,72.9,1.1,3.87,88,175.40685,1106.507682,0.85,3,48,1186.196087,78.17328758,837.2109468,,,,,,,,
Sherpur,25.0746,90.1495,2017,3,1.44,2.28,0,0,25.27,7.09,35.53,78.44,3902.34,0.06,293.75,1412601,23.1,72.9,1.1,3.85,88,120.071085,757.4366562,0.85,3,48,1326.036532,87.38912251,935.9095959,,,,,,,,
Sirajganj,24.3141,89.57,2017,2,0.96,1.52,0,0,25.53,5.65,38.45,76.69,2895.12,0.09,293.75,3220812,23.1,72.9,1.1,3.76,88,273.76902,1726.999394,0.85,3,48,2494.301919,164.3807322,1760.465149,,,,,,,,
Sunamganj,25.0715,91.3992,2017,1,0.48,0.76,0,0,24.92,9.09,33.7,81.06,7182.42,0.04,293.75,2564540,23.1,72.9,1.1,4.94,88,217.9859,1375.106348,0.85,3,48,3693.58372,243.416401,2606.911924,,,,,,,,
Sylhet,24.8993,91.87,2017,0,0,0,0,0,24.68,8.71,33.48,81.94,7324.8,0.07,293.75,3567139,23.1,72.9,1.1,4.94,88,303.206815,1912.699932,0.85,3,48,3417.924658,225.2497797,2412.353211,,,,,,,,
Tangail,24.3917,89.9948,2017,20,9.6,15.2,0,0,25.37,6.26,36.09,78.69,4123.83,0.09,293.75,3749086,23.1,72.9,1.1,3.87,88,318.67231,2010.259913,0.85,3,48,3366.374057,221.8524662,2375.969068,,,,,,,,
Thakurgaon,26.0418,88.4283,2017,1,0.48,0.76,0,0,25.44,5.76,41.19,70.12,1824.61,0.03,293.75,1444783,23.1,72.9,1.1,3.87,88,122.806555,774.6926446,0.85,3,48,1814.206041,119.5607136,1280.457063,,,,,,,,
Bagerhat,22.6602,89.7895,2018,2,0.96,0.82,0.62,0,25.27,6.43,37.48,77.69,3169.34,0.09,321.28,1534012,21.8,73.9,1.1,3.74,91.8,134.993056,878.5286724,0.88,4.7,48,3646.18417,266.8792647,2577.65081,,,,,,,,
Bandarban,21.8311,92.3686,2018,1,0.48,0.41,0.31,0,23.29,6.3,36.31,82.25,4703.91,0.05,321.28,404091,21.8,73.9,1.1,4.47,91.8,35.560008,231.4229157,0.88,4.7,48,4595.260113,336.3460491,3248.595079,,,,,,,,
Barguna,23.7073,90.4155,2018,3,1.44,1.23,0.93,0,25.06,7.01,35.4,78.94,2779.1,0.06,321.28,927889,21.8,73.9,1.1,4.17,91.8,81.654232,531.4020303,0.88,4.7,48,1345.650521,98.49371417,951.3005905,,,,,,,,
