d,Months,Months,Cases,Deaths,T2M,T2M_MIN,T2M_MAX,RH2M,PRECTOTCORR,PS,WS50_MAX,Pd,GDP,GNI,PHR,ALR,UnE,EA,PG,FR,AGR,AL,,,,,,,,,,,,,,,
2010,7,Jul,35,0,28.41,25.39,33.65,89.25,6.32,100.26,11.98,1134,115.28,800,31.5,58.6,3.4,55.3,1.1,14.51,70.99,59.85,,,,,,,,,,,,,,,
2010,8,Aug,183,0,28.24,25.23,33.88,88.31,8.55,100.35,8.17,1134,115.28,800,31.5,58.6,3.4,55.3,1.1,14.51,70.99,59.85,,,,,,,,,,,,,,,
2010,9,Sep,165,0,27.65,23.91,32.58,89.19,6.38,100.52,8.27,1134,115.28,800,31.5,58.6,3.4,55.3,1.1,14.51,70.99,59.85,,,,,,,,,,,,,,,
2010,10,Oct,21,0,26.62,18.43,33.15,86.38,7.71,100.64,12.7,1134,115.28,800,31.5,58.6,3.4,55.3,1.1,14.51,70.99,59.85,,,,,,,,,,,,,,,
2010,11,Nov,5,0,23.78,13.77,30.69,79,0.54,101.1,7.92,1134,115.28,800,31.5,58.6,3.4,55.3,1.1,14.51,70.99,59.85,,,,,,,,,,,,,,,
2010,12,Dec,0,0,18.63,10.01,28.26,77.56,2.19,101.11,7.54,1134,115.28,800,31.5,58.6,3.4,55.3,1.1,14.51,70.99,59.85,,,,,,,,,,,,,,,
2011,1,Jan,0,0,16.89,7.58,27.88,68.44,0,101.3,8.27,1147,128.64,890,30.4,58.8,3.8,59.6,1.1,14.50,70.12,58.98,,,,,,,,,,,,,,,
2011,2,Feb,0,0,21.81,12.13,32.32,55.06,0.06,101.14,10.62,1147,128.64,890,30.4,58.8,3.8,59.6,1.1,14.50,70.12,58.98,,,,,,,,,,,,,,,
2011,3,Mar,0,0,26.89,14.42,37.83,54.38,1.47,100.87,13.46,1147,128.64,890,30.4,58.8,3.8,59.6,1.1,14.50,70.12,58.98,,,,,,,,,,,,,,,
2011,4,Apr,0,0,29.09,21.05,38.65,61.69,2.98,100.78,9.04,1147,128.64,890,30.4,58.8,3.8,59.6,1.1,14.50,70.12,58.98,,,,,,,,,,,,,,,
2011,5,May,0,0,29.20,24.45,37.2,78.25,9.71,100.36,9.41,1147,128.64,890,30.4,58.8,3.8,59.6,1.1,14.50,70.12,58.98,,,,,,,,,,,,,,,
2011,6,Jun,74,0,28.52,24.67,33.64,87.12,10.69,99.93,13.2,1147,128.64,890,30.4,58.8,3.8,59.6,1.1,14.50,70.12,58.98,,,,,,,,,,,,,,,
2011,7,Jul,296,1,28.28,24.76,33.94,88,7.52,100.09,11.35,1147,128.64,890,30.4,58.8,3.8,59.6,1.1,14.50,70.12,58.98,,,,,,,,,,,,,,,
